City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
128,Pundaguitan,PH,6.3711,126.1689,82.53,75,76,3.29,broken clouds
129,Ostrovnoy,RU,68.0531,39.5131,50.27,96,100,19.66,overcast clouds
130,Talnakh,RU,69.4865,88.3972,45.99,69,99,1.68,overcast clouds
131,Mpongwe,ZM,-13.5091,28.155,65.93,42,82,8.61,broken clouds
132,Cape Town,ZA,-33.9258,18.4232,50.41,82,0,5.75,clear sky
133,Port-Gentil,GA,-0.7193,8.7815,76.96,78,40,8.05,scattered clouds
134,Diego De Almagro,CL,-26.3667,-70.05,65.41,26,0,7.43,clear sky
135,Lovozero,RU,68.005,35.0117,49.21,91,88,7.54,overcast clouds
136,San Quintin,MX,30.4833,-115.95,75.74,66,2,10.47,clear sky
137,Lompoc,US,34.6391,-120.4579,82.54,71,1,14.97,mist
138,Iquitos,PE,-3.7481,-73.2472,86.04,66,75,2.3,broken clouds
139,Faanui,PF,-16.4833,-151.75,79.61,72,57,18.54,broken clouds
140,Padang,ID,-0.9492,100.3543,75.27,71,96,4.36,overcast clouds
141,Shellbrook,CA,53.2168,-106.4011,81.7,34,41,6.64,scattered clouds
142,Lodja,CD,-3.4833,23.4333,71.13,29,29,1.81,scattered clouds
143,Barmer,IN,25.75,71.3833,85.37,64,100,3.76,overcast clouds
144,Kavieng,PG,-2.5744,150.7967,82.29,76,69,8.59,light rain
145,Willmar,US,45.1219,-95.0433,76.68,73,1,0.0,clear sky
146,Mulatupo,PA,8.9492,-77.7652,83.07,79,100,6.78,overcast clouds
147,Kodiak,US,57.79,-152.4072,56.71,72,90,12.66,overcast clouds
148,Majene,ID,-3.5403,118.9707,76.66,90,100,6.89,light rain
149,Salinas,US,36.6777,-121.6555,85.69,71,20,11.5,few clouds
150,Mar Del Plata,AR,-38.0023,-57.5575,53.1,68,0,5.99,clear sky
151,Narsaq,GL,60.9167,-46.05,53.82,68,29,4.23,scattered clouds
152,Gamba,GA,-2.65,10.0,70.92,88,43,6.98,scattered clouds
153,Chemal,RU,51.4111,86.005,56.97,95,22,5.82,few clouds
154,Airai,TL,-8.9266,125.4092,56.57,81,100,3.22,overcast clouds
155,Palmer,US,42.1584,-72.3287,87.94,63,40,3.0,scattered clouds
156,Nome,US,64.5011,-165.4064,51.17,90,96,6.58,overcast clouds
157,Tessalit,ML,20.1986,1.0114,92.07,30,95,8.48,overcast clouds
158,Hofn,IS,64.2539,-15.2082,52.21,76,43,8.12,scattered clouds
159,Fayaoue,NC,-20.65,166.5333,71.01,69,100,18.14,overcast clouds
160,Shingu,JP,33.7333,135.9833,75.9,91,89,2.51,overcast clouds
161,Port Alfred,ZA,-33.5906,26.891,55.04,39,0,6.85,clear sky
162,Polyarnyy,RU,69.1989,33.4478,54.07,93,75,6.93,broken clouds
163,Straumen,NO,63.8709,11.2999,68.0,92,53,3.44,broken clouds
164,Dikson,RU,73.5069,80.5464,36.73,88,100,13.33,overcast clouds
